order_id,actual_delivery_date,late_delivery,delay_days,partial_delivery,cancelled,delay_reason
1,2024-01-31,1,2,0,0,none
2,2024-01-06,1,1,0,0,none
3,2024-01-10,1,3,0,0,none
4,2024-01-17,1,3,0,0,none
5,2024-01-31,0,-1,0,0,none
6,2024-02-04,1,2,0,0,weather
7,2024-01-23,1,3,1,0,none
8,2024-01-19,1,3,0,0,none
9,2024-01-11,0,0,0,0,none
10,2024-01-18,0,-1,0,0,none
11,2024-02-02,1,2,0,0,none
12,2024-02-04,1,2,0,0,none
13,2024-01-14,1,3,0,0,none
14,2024-01-11,1,1,0,0,none
15,2024-01-04,0,-1,0,0,none
16,2024-01-24,1,2,0,0,none
17,2024-01-11,1,2,0,0,none
18,2024-01-27,1,1,0,0,none
19,2024-01-24,1,1,0,0,weather
20,2024-01-26,1,4,1,0,weather
21,2024-02-03,1,5,0,0,none
22,2024-01-22,0,0,0,0,none
23,2024-01-17,0,0,0,0,none
24,2024-01-20,0,0,0,0,none
25,2024-01-26,0,-3,0,0,none
26,2024-01-21,0,-1,0,0,none
27,2024-01-12,0,-1,0,0,none
28,2024-01-21,0,0,0,0,none
29,2024-01-14,1,1,0,0,none
30,2024-01-15,0,0,0,0,none
31,2024-01-28,0,0,0,0,none
32,2024-01-16,0,0,0,0,none
33,2024-01-16,1,1,0,0,none
34,2024-01-23,0,0,0,0,none
35,2024-01-07,0,-1,0,0,none
36,2024-01-30,1,3,0,0,none
37,2024-01-22,0,-3,0,0,none
38,2024-01-10,0,-1,0,0,none
39,2024-01-24,1,1,0,0,none
40,2024-01-19,0,-2,0,0,none
41,2024-01-31,1,2,0,0,none
42,2024-01-07,0,-1,0,0,none
43,2024-01-08,0,0,0,0,none
44,2024-01-29,1,1,0,0,none
45,2024-01-12,1,2,0,0,weather
46,2024-01-14,1,1,0,0,none
47,2024-01-13,1,2,0,0,weather
48,2024-01-23,1,1,0,0,none
49,2024-02-03,1,1,0,0,none
50,2024-02-05,1,1,0,0,none
51,2024-02-05,1,2,0,0,weather
52,2024-02-06,0,0,0,0,none
53,2024-01-25,0,0,0,0,none
54,2024-02-01,1,2,0,0,none
55,2024-02-07,1,4,0,0,weather
56,2024-01-24,1,2,0,0,none
57,2024-01-16,0,0,0,0,none
58,2024-01-21,1,2,0,0,none
59,2024-01-26,0,0,0,0,none
60,2024-01-22,1,2,0,0,none
61,2024-02-06,1,1,0,0,none
62,2024-01-18,0,-1,0,0,none
63,2024-01-13,1,2,0,0,none
64,2024-01-28,1,1,0,0,none
65,2024-01-28,0,0,0,0,none
66,2024-02-10,0,0,0,0,none
67,2024-01-28,0,-1,0,0,none
68,2024-01-31,0,-1,0,0,none
69,2024-01-27,0,-3,0,0,none
70,2024-01-26,0,0,0,0,none
71,2024-01-12,0,0,0,0,none
72,2024-02-08,1,3,0,0,none
73,2024-01-14,1,1,0,0,none
74,2024-02-04,1,1,0,0,none
75,2024-02-02,1,2,0,0,none
76,2024-02-14,1,2,0,0,none
77,2024-02-15,1,2,0,0,none
78,2024-02-11,1,1,0,0,weather
79,2024-01-24,0,0,0,0,none
80,2024-02-05,0,-3,0,0,none
81,2024-02-04,1,1,0,0,none
82,2024-02-10,1,2,0,0,none
83,2024-02-07,0,-1,0,0,none
84,2024-01-28,0,-1,0,0,none
85,2024-02-08,1,3,0,0,none
86,2024-01-17,0,-1,0,0,none
87,2024-01-30,0,-2,0,0,none
88,2024-01-27,1,4,0,0,weather
89,2024-01-16,1,2,0,0,none
90,2024-01-30,1,1,0,0,none
91,2024-02-15,1,1,0,0,none
92,2024-01-14,0,-1,0,0,none
93,2024-01-17,1,2,0,0,none
94,2024-01-28,0,-2,0,0,none
95,2024-01-19,1,2,0,0,weather
96,2024-01-31,0,-1,0,0,none
97,2024-02-08,1,2,0,0,weather
98,2024-02-19,1,3,0,0,weather
99,2024-02-06,1,3,0,0,none
100,2024-01-29,1,1,0,0,weather
101,2024-02-11,1,3,1,0,none
102,2024-02-13,1,1,0,0,none
103,2024-02-06,0,0,0,0,none
104,2024-01-23,0,-3,0,0,none
105,2024-01-22,0,-1,0,0,none
106,2024-01-31,0,-1,0,0,none
107,2024-02-09,1,2,0,0,weather
108,2024-01-25,1,4,0,0,none
109,2024-02-13,0,-1,0,0,none
110,2024-01-19,1,2,0,0,none
111,2024-02-04,0,0,0,0,none
112,2024-01-24,0,-1,0,0,none
113,2024-01-25,0,0,0,0,none
114,2024-01-29,1,1,0,0,none
115,2024-02-14,0,0,0,0,none
116,2024-02-01,1,2,0,0,none
117,2024-02-02,0,-1,0,0,none
118,2024-01-20,0,-1,0,0,none
119,2024-02-11,1,2,0,0,weather
120,2024-02-17,0,0,0,0,none
121,2024-01-29,0,0,0,0,none
122,2024-02-01,0,-3,0,0,none
123,2024-02-05,1,2,0,0,none
124,2024-02-15,1,1,0,0,none
125,2024-01-23,0,-2,0,0,none
126,2024-02-19,0,0,0,0,none
127,2024-02-01,1,2,1,0,none
128,2024-02-05,1,1,0,0,none
129,2024-01-24,0,0,0,0,none
130,2024-01-30,1,2,1,0,none
131,2024-02-06,1,2,0,0,none
132,2024-01-26,1,1,0,0,none
133,2024-02-03,0,-1,0,0,none
134,2024-01-30,1,2,0,0,none
135,2024-02-07,0,0,0,0,none
136,2024-02-22,1,2,0,0,none
137,2024-02-04,0,-1,0,0,none
138,2024-02-04,1,1,0,0,none
139,2024-02-10,1,1,0,0,none
140,2024-01-21,0,-3,0,0,none
141,2024-01-22,1,1,0,0,none
142,2024-02-07,1,1,0,0,weather
143,2024-01-20,0,-1,0,0,none
144,2024-01-29,0,-2,0,0,none
145,2024-02-20,0,0,0,0,none
146,2024-02-03,1,1,0,0,none
147,2024-02-04,1,4,0,0,none
148,2024-01-26,1,1,0,0,none
149,2024-02-05,0,0,0,0,none
150,2024-02-12,0,0,0,0,none
151,2024-02-04,0,-3,0,0,none
152,2024-02-22,1,1,0,0,none
153,2024-01-22,0,-1,0,0,none
154,2024-01-30,1,2,0,0,none
155,2024-02-07,0,0,0,0,none
156,2024-02-11,1,1,0,0,none
157,2024-02-25,1,1,0,0,none
158,2024-01-28,0,-1,0,0,none
159,2024-01-28,0,0,0,0,none
160,2024-02-08,1,1,0,0,weather
161,2024-02-09,1,1,0,0,none
162,2024-02-16,1,2,0,0,weather
163,2024-02-06,1,1,0,0,none
164,2024-01-28,1,1,0,0,none
165,2024-02-01,1,1,0,0,weather
166,2024-02-06,1,1,0,0,none
167,2024-02-17,0,-1,0,0,none
168,2024-02-25,1,2,0,0,none
169,2024-02-15,0,-1,0,0,none
170,2024-02-02,1,1,0,0,weather
171,2024-02-06,0,0,0,0,none
172,2024-02-10,1,3,0,0,none
173,2024-02-15,1,2,0,0,none
174,2024-02-18,1,1,0,0,weather
175,2024-01-24,0,-2,0,0,none
176,2024-01-27,0,-1,0,0,none
177,2024-02-14,1,4,0,0,none
178,2024-02-06,0,0,0,0,none
179,2024-02-06,0,-3,0,0,none
180,2024-02-17,0,0,0,0,none
181,2024-02-13,1,3,0,0,none
182,2024-02-14,0,-1,0,0,none
183,2024-02-01,0,0,0,0,none
184,2024-02-09,1,1,0,0,none
185,2024-02-10,1,1,0,0,none
186,2024-02-11,1,1,0,0,weather
187,2024-02-04,1,3,0,0,none
188,2024-02-17,1,3,0,0,weather
189,2024-02-09,0,0,0,0,none
190,2024-02-08,1,1,0,0,none
191,2024-02-14,1,2,0,0,none
192,2024-02-08,0,-2,0,0,none
193,2024-01-31,1,1,0,0,none
194,2024-02-17,0,0,0,0,none
195,2024-02-22,1,1,0,0,none
196,2024-01-30,0,0,0,0,none
197,2024-02-06,0,0,0,0,none
198,2024-02-07,1,1,0,0,none
199,2024-02-25,1,2,0,0,none
200,2024-02-26,0,-1,0,0,none
201,2024-02-12,0,-2,0,0,none
202,2024-02-11,1,1,0,0,none
203,2024-02-07,1,3,0,0,none
204,2024-02-06,1,1,0,0,weather
205,2024-02-18,1,1,0,0,weather
206,2024-02-22,0,0,0,0,none
207,2024-02-29,0,0,0,0,none
208,2024-02-05,0,-1,0,0,none
209,2024-02-03,0,0,0,0,none
210,2024-02-20,1,3,0,0,none
211,2024-02-07,0,-2,0,0,none
212,2024-02-18,0,-1,0,0,none
213,2024-02-16,0,-1,0,0,none
214,2024-02-27,0,-1,0,0,none
215,2024-02-06,1,4,0,0,none
216,2024-02-28,1,1,0,0,weather
217,2024-02-18,0,0,0,0,none
218,2024-02-09,1,2,0,0,none
219,2024-02-07,1,1,0,0,none
220,2024-02-18,0,-1,0,0,none
221,2024-03-04,0,-1,0,0,none
222,2024-02-18,1,2,0,0,none
223,2024-02-16,0,-3,0,0,none
224,2024-02-09,1,2,0,0,none
225,2024-02-10,0,-3,0,0,none
226,2024-03-03,1,2,0,0,none
227,2024-02-17,0,0,0,0,none
228,2024-02-10,0,-1,0,0,none
229,2024-02-15,0,0,0,0,none
230,2024-02-10,1,1,0,0,none
231,2024-02-21,0,0,0,0,none
232,2024-02-09,0,0,0,0,none
233,2024-02-11,0,0,0,0,none
234,2024-02-16,0,-1,0,0,none
235,2024-02-18,0,-1,0,0,none
236,2024-02-17,0,0,0,0,none
237,2024-02-08,1,2,0,0,none
238,2024-02-08,0,0,0,0,none
239,2024-02-24,0,0,0,0,none
240,2024-02-22,1,1,0,0,none
241,2024-02-23,1,3,0,0,none
242,2024-02-10,1,2,0,0,weather
243,2024-02-14,0,0,0,0,none
244,2024-02-04,0,-1,0,0,none
245,2024-02-27,1,1,0,0,none
246,2024-02-27,0,-1,0,0,none
247,2024-02-14,0,0,0,0,none
248,2024-02-20,0,0,0,0,none
249,2024-02-27,1,1,0,0,none
250,2024-02-25,1,4,0,0,weather
251,2024-03-05,1,3,0,0,weather
252,2024-02-28,1,1,0,0,weather
253,2024-02-09,0,0,0,0,none
254,2024-03-03,1,1,0,0,none
255,2024-02-05,0,-1,0,0,none
256,2024-02-16,0,-2,0,0,none
257,2024-02-14,1,2,0,0,weather
258,2024-02-06,0,0,0,0,none
259,2024-03-05,0,-1,0,0,none
260,2024-03-06,1,3,0,0,none
261,2024-02-12,1,2,0,0,none
262,2024-02-14,1,2,0,0,weather
263,2024-03-06,0,0,0,0,none
264,2024-02-16,0,-1,0,0,none
265,2024-03-03,1,1,0,0,weather
266,2024-02-06,0,0,0,0,none
267,2024-02-26,1,1,0,0,none
268,2024-02-11,1,3,0,0,none
269,2024-02-19,1,5,0,0,weather
270,2024-02-24,1,2,0,0,none
271,2024-02-11,0,0,0,0,none
272,2024-02-28,1,1,0,0,none
273,2024-02-23,1,2,0,0,none
274,2024-02-26,0,0,0,0,none
275,2024-02-17,1,2,0,0,none
276,2024-02-27,0,-1,0,0,none
277,2024-02-21,0,0,0,0,none
278,2024-02-25,1,3,0,0,none
279,2024-02-25,1,1,0,0,weather
280,2024-02-19,1,2,0,0,none
281,2024-02-21,1,3,0,0,none
282,2024-02-27,0,0,0,0,none
283,2024-02-22,1,3,0,0,none
284,2024-02-17,0,-2,0,0,none
285,2024-02-18,0,-2,0,0,none
286,2024-02-08,0,-1,0,0,none
287,2024-02-19,0,0,0,0,none
288,2024-03-10,1,1,0,0,none
289,2024-02-19,0,0,0,0,none
290,2024-02-25,1,3,0,0,none
291,2024-02-28,0,0,0,0,none
292,2024-03-04,0,0,0,0,none
293,2024-03-04,0,-1,0,0,none
294,2024-02-27,0,-2,0,0,none
295,2024-02-16,1,3,0,0,none
296,2024-02-23,1,2,0,0,none
297,2024-02-24,0,-1,0,0,none
298,2024-02-13,1,2,0,0,none
299,2024-02-24,0,0,0,0,none
300,2024-02-25,0,-1,0,0,none
301,2024-02-18,1,1,1,0,none
302,2024-02-13,0,-1,0,0,none
303,2024-02-27,0,0,0,0,none
304,2024-03-07,0,-2,0,0,none
305,2024-02-27,0,-3,0,0,none
306,2024-02-10,0,0,0,0,none
307,2024-03-05,0,-2,0,0,none
308,2024-02-16,1,1,0,0,none
309,2024-03-02,0,0,0,0,none
310,2024-03-03,0,-1,0,0,none
311,2024-02-14,1,2,0,0,weather
312,2024-03-01,1,1,0,0,none
313,2024-02-20,1,2,0,0,none
