order_id,order_date,supplier_id,sku,qty,unit_price,currency,ship_mode,incoterm,payment_terms,distance_km,promised_date,urgent,order_notes
1,2024-01-01,8,SKU00038,15,11.81,EUR,sea,FOB,NET30,748,2024-01-29,0,
2,2024-01-01,1,SKU00020,25,22.43,EUR,road,EXW,NET30,1188,2024-01-05,0,
3,2024-01-01,17,SKU00023,39,7.5,EUR,rail,DAP,NET60,857,2024-01-07,0,
4,2024-01-01,16,SKU00005,44,10.65,EUR,sea,CIF,NET30,729,2024-01-14,0,
5,2024-01-02,6,SKU00027,32,8.11,EUR,rail,DAP,NET30,205,2024-02-01,0,
6,2024-01-02,15,SKU00028,15,13.68,EUR,road,CIF,PREPAID,574,2024-02-02,0,
7,2024-01-02,11,SKU00028,14,14.71,EUR,sea,FOB,NET60,843,2024-01-20,1,urgent
8,2024-01-02,9,SKU00040,50,29.43,USD,sea,DAP,PREPAID,791,2024-01-16,0,
9,2024-01-02,7,SKU00038,6,12.93,USD,road,CIF,NET60,987,2024-01-11,0,
10,2024-01-02,4,SKU00006,18,24.92,EUR,sea,CIF,PREPAID,955,2024-01-19,0,
11,2024-01-02,8,SKU00016,37,6.82,EUR,sea,DAP,PREPAID,762,2024-01-31,0,
12,2024-01-03,15,SKU00022,14,11.43,EUR,rail,EXW,PREPAID,987,2024-02-02,0,
13,2024-01-03,3,SKU00021,23,12.87,EUR,sea,FOB,PREPAID,944,2024-01-11,0,
14,2024-01-03,13,SKU00023,21,7.33,EUR,road,CIF,NET60,769,2024-01-10,1,urgent
15,2024-01-03,10,SKU00039,16,19.75,EUR,road,CIF,NET30,658,2024-01-05,0,
16,2024-01-03,19,SKU00006,14,22.14,EUR,road,FOB,PREPAID,691,2024-01-22,0,
17,2024-01-03,10,SKU00032,9,13.39,EUR,air,FOB,PREPAID,662,2024-01-09,0,
18,2024-01-03,2,SKU00032,22,14.1,EUR,road,DAP,NET30,237,2024-01-26,0,
19,2024-01-03,18,SKU00019,34,19.84,EUR,road,FOB,PREPAID,621,2024-01-23,1,urgent
20,2024-01-03,19,SKU00020,29,25.27,EUR,road,CIF,PREPAID,831,2024-01-22,1,urgent
21,2024-01-03,15,SKU00036,22,6.91,EUR,rail,CIF,PREPAID,801,2024-01-29,0,
22,2024-01-03,11,SKU00036,4,6.73,EUR,road,CIF,NET60,944,2024-01-22,1,urgent
23,2024-01-03,20,SKU00018,31,9.93,EUR,road,CIF,NET60,462,2024-01-17,0,
24,2024-01-03,9,SKU00015,20,8.67,EUR,rail,EXW,NET45,880,2024-01-20,1,urgent
25,2024-01-04,12,SKU00008,15,15.05,EUR,road,FOB,NET45,420,2024-01-29,0,
26,2024-01-04,12,SKU00014,33,21.41,EUR,road,DAP,NET60,557,2024-01-22,0,
27,2024-01-04,13,SKU00038,12,11.55,EUR,road,CIF,NET30,773,2024-01-13,0,
